2025-11-21T18:54:08.240Z;1429;0;2
2025-11-21T18:57:17.785Z;1424;0;2
2025-11-21T18:57:38.852Z;1445;1;2
2025-11-21T18:57:41.859Z;1443;0;2
2025-11-21T18:57:43.859Z;1442;0;2
2025-11-21T18:57:45.858Z;1440;0;2
2025-11-21T18:57:47.874Z;1440;1;2
2025-11-21T18:57:49.873Z;1439;0;2
2025-11-21T18:58:08.926Z;1440;0;2
2025-11-21T18:58:13.949Z;1439;0;2
2025-11-21T18:58:17.964Z;1438;0;2
2025-11-21T18:58:19.963Z;1437;0;2
2025-11-21T18:58:39.016Z;1450;2;2
2025-11-21T18:58:40.023Z;1449;2;2
2025-11-21T18:58:42.023Z;1447;1;2
2025-11-21T18:58:44.039Z;1445;1;2
2025-11-21T18:58:46.038Z;1443;1;2
2025-11-21T18:58:48.038Z;1441;0;2
2025-11-21T18:59:09.106Z;1435;0;2
2025-11-21T18:59:10.113Z;1434;0;2
2025-11-21T18:59:39.196Z;1433;0;2
2025-11-21T19:00:09.270Z;1429;0;2
2025-11-21T19:00:39.359Z;1427;0;2
2025-11-21T19:01:09.450Z;1425;0;2
2025-11-21T19:01:16.472Z;1426;0;2
2025-11-21T19:01:42.547Z;1427;0;2
2025-11-21T19:01:44.546Z;1428;0;2
2025-11-21T19:02:09.629Z;1427;0;2
